index,bbox,label_id,label_text,content,width,height
0,"[125, 251, 176, 266]",15,SELLER,TÊN ĐẠI LÝ:,472,1024
1,"[272, 245, 327, 265]",15,SELLER,5156 VINMART,472,1024
2,"[121, 267, 195, 284]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ :,472,1024
3,"[235, 265, 331, 281]",16,ADDRESS,5156 TỔ 7 Minh TIẾN A,472,1024
4,"[243, 284, 329, 298]",16,ADDRESS,CAM BINH CAM PHA QN,472,1024
5,"[124, 450, 149, 466]",17,TIMESTAMP,NGÀY,472,1024
6,"[172, 448, 219, 466]",17,TIMESTAMP,13/88/2020,472,1024
7,"[233, 451, 255, 466]",17,TIMESTAMP,GIỜ:,472,1024
8,"[292, 450, 329, 465]",17,TIMESTAMP,10:52:29,472,1024
9,"[125, 495, 211, 515]",18,TOTAL_COST,TỔNG CỘNG:,472,1024
10,"[237, 495, 331, 516]",18,TOTAL_COST,"UHD 560,215",472,1024
