index,bbox,label_id,label_text,content,width,height
0,"[426, 94, 594, 121]",15,SELLER,Saigon Co.op,1024,1366
1,"[346, 118, 676, 168]",15,SELLER,Co.op Food HN THE K-PARK,1024,1366
2,"[251, 183, 757, 239]",16,ADDRESS,"Tang 1,SH42 - Toa K3, Cong trinh chung cu",1024,1366
3,"[270, 217, 745, 268]",16,ADDRESS,ket hop dich vu tren o dat H-CT2 thuoc,1024,1366
4,"[259, 259, 758, 297]",16,ADDRESS,Du an Dau tu xay dung Khu nha o Hi Brand,1024,1366
5,"[357, 291, 694, 329]",16,ADDRESS,"tai Khu do thi moi Van Phu,",1024,1366
6,"[324, 318, 723, 369]",16,ADDRESS,"P. Phu La, Q. Ha Dong, Tp Ha Noi",1024,1366
7,"[437, 544, 765, 582]",17,TIMESTAMP,Ngày: 20/09/2019 13:24:28,1024,1366
8,"[268, 748, 570, 773]",18,TOTAL_COST,Tong so tien thanh toan:,1024,1366
9,"[646, 739, 768, 768]",18,TOTAL_COST,"14,000.00",1024,1366
