index,bbox,label_id,label_text,content,width,height
0,"[501, 130, 627, 167]",15,SELLER,Saigon Co.op,1024,1366
1,"[440, 152, 683, 198]",15,SELLER,Co.op Food HN THE K-PARK,1024,1366
2,"[348, 198, 746, 258]",16,ADDRESS,"Tang 1, SH42 - Toa K3, Cong trinh chung cu",1024,1366
3,"[355, 228, 732, 282]",16,ADDRESS,ket hop dich vu tren o dat H-CT2 thuoc,1024,1366
4,"[344, 251, 742, 309]",16,ADDRESS,Da an Dau tu xay dung Khu nha o Hi Brand,1024,1366
5,"[424, 286, 689, 334]",16,ADDRESS,"tai khu do thi moi Van Phu,",1024,1366
6,"[389, 307, 705, 360]",16,ADDRESS,"P. Phu La, Q. Ha Dong, Tp Ha Moi",1024,1366
7,"[467, 503, 623, 536]",17,TIMESTAMP,Ngày: 19/09/2019,1024,1366
8,"[636, 513, 716, 540]",17,TIMESTAMP,18:13:48,1024,1366
9,"[322, 762, 544, 794]",18,TOTAL_COST,Tong so tien thanh toan:,1024,1366
10,"[601, 773, 690, 805]",18,TOTAL_COST,"32,200.00",1024,1366
