index,bbox,label_id,label_text,content,width,height
0,"[401, 497, 650, 530]",15,SELLER,THỨC COFFEE,1024,1366
1,"[429, 544, 624, 562]",16,ADDRESS,"22 Quang Trung, P10, Gò Vấp",1024,1366
2,"[528, 643, 570, 658]",17,TIMESTAMP,Ngày:,1024,1366
3,"[626, 642, 698, 658]",17,TIMESTAMP,21.04.2019,1024,1366
4,"[361, 666, 418, 682]",17,TIMESTAMP,Giờ vào:,1024,1366
5,"[431, 665, 465, 682]",17,TIMESTAMP,10.30,1024,1366
6,"[530, 662, 575, 681]",17,TIMESTAMP,Giờ ra:,1024,1366
7,"[662, 665, 695, 679]",17,TIMESTAMP,10.31,1024,1366
8,"[364, 775, 491, 796]",18,TOTAL_COST,Tiên Thanh Toán:,1024,1366
9,"[638, 776, 690, 795]",18,TOTAL_COST,52 000,1024,1366
