index,bbox,label_id,label_text,content,width,height
0,"[187, 153, 271, 175]",15,SELLER,PHỐ MỎ,472,1024
1,"[70, 175, 380, 201]",16,ADDRESS,Tổ 7 khu Tân Lập 4 - P Cẩm Thuỷ,472,1024
2,"[109, 199, 353, 222]",16,ADDRESS,Tp. Cẩm Phả - Quảng Ninh,472,1024
3,"[160, 302, 305, 316]",17,TIMESTAMP,13/08/2020 - 20:21,472,1024
4,"[215, 558, 295, 574]",18,TOTAL_COST,Tổng cộng:,472,1024
5,"[357, 557, 402, 570]",18,TOTAL_COST,"15,000",472,1024
6,"[187, 582, 296, 599]",18,TOTAL_COST,Tiền khách đưa,472,1024
7,"[230, 608, 298, 626]",18,TOTAL_COST,Tiền thừa,472,1024
8,"[359, 582, 404, 596]",18,TOTAL_COST,"15,000",472,1024
9,"[396, 609, 405, 621]",18,TOTAL_COST,0,472,1024
10,"[390, 531, 400, 544]",18,TOTAL_COST,0,472,1024
11,"[354, 506, 399, 521]",18,TOTAL_COST,"15,000",472,1024
12,"[214, 531, 295, 546]",18,TOTAL_COST,Chiết khấu:,472,1024
13,"[181, 507, 293, 524]",18,TOTAL_COST,Cộng tiền hàng:,472,1024
14,"[63, 633, 250, 655]",18,TOTAL_COST,Mười làm nghìn đồng chẵn,472,1024
15,"[159, 683, 321, 700]",18,TOTAL_COST,Cảm ơn và hẹn gặp lại!,472,1024
16,"[154, 706, 328, 726]",18,TOTAL_COST,Powered by POS365.VN,472,1024
17,"[69, 467, 113, 481]",18,TOTAL_COST,15.000,472,1024
18,"[67, 442, 200, 459]",18,TOTAL_COST,Trà Đào Nha Đam,472,1024
19,"[65, 418, 124, 436]",18,TOTAL_COST,Đơn giá,472,1024
20,"[258, 418, 277, 432]",18,TOTAL_COST,SL,472,1024
21,"[319, 416, 394, 432]",18,TOTAL_COST,Thành tiền,472,1024
22,"[349, 462, 399, 479]",18,TOTAL_COST,"15,000",472,1024
23,"[67, 372, 117, 390]",18,TOTAL_COST,Địa chỉ:,472,1024
24,"[68, 351, 102, 367]",18,TOTAL_COST,SĐT,472,1024
25,"[67, 329, 148, 347]",18,TOTAL_COST,Khách hàng,472,1024
26,"[98, 279, 366, 298]",18,TOTAL_COST,Số HD130820 0016 - Bàn : MANG VỀ [A],472,1024
27,"[150, 259, 312, 276]",18,TOTAL_COST,HOÁ ĐƠN BÁN HÀNG,472,1024
28,"[148, 224, 313, 245]",18,TOTAL_COST,ĐT: 0858.931931,472,1024
