index,bbox,label_id,label_text,content,width,height
0,"[396, 117, 543, 142]",15,SELLER,WWW.UNIQLO.COM,1024,1366
1,"[436, 142, 492, 163]",15,SELLER,UNIQLO,1024,1366
2,"[376, 158, 571, 183]",16,ADDRESS,Vincom Phạm Ngọc Thạch,1024,1366
3,"[366, 174, 577, 202]",16,ADDRESS,"2, Đường Phạm Ngọc Thạch",1024,1366
4,"[348, 192, 603, 221]",16,ADDRESS,"Phường Trung Tự, Quận Đống Đa",1024,1366
5,"[399, 212, 540, 235]",16,ADDRESS,Thành phố Hà Nội,1024,1366
6,"[225, 1177, 267, 1203]",17,TIMESTAMP,Ngày,1024,1366
7,"[343, 1179, 377, 1205]",17,TIMESTAMP,Giờ,1024,1366
8,"[225, 1201, 385, 1224]",17,TIMESTAMP,01/08/2020 20:13,1024,1366
9,"[237, 956, 330, 987]",18,TOTAL_COST,Tổng cộng,1024,1366
10,"[519, 968, 609, 996]",18,TOTAL_COST,"2,442,000",1024,1366
