index,bbox,label_id,label_text,content,width,height
0,"[331, 77, 813, 161]",15,SELLER,THỨC COFEE,1024,1024
1,"[390, 187, 769, 226]",16,ADDRESS,"22 Quang Trung, P10, Gò Vấp",1024,1024
2,"[582, 369, 666, 403]",17,TIMESTAMP,Ngày:,1024,1024
3,"[759, 352, 910, 387]",17,TIMESTAMP,06.04.2019,1024,1024
4,"[268, 416, 387, 450]",17,TIMESTAMP,Giờ vào:,1024,1024
5,"[404, 418, 481, 447]",17,TIMESTAMP,12.16,1024,1024
6,"[587, 414, 680, 450]",17,TIMESTAMP,Giờ ra:,1024,1024
7,"[838, 391, 913, 424]",17,TIMESTAMP,12.16,1024,1024
8,"[264, 645, 528, 686]",18,TOTAL_COST,Tiên Thanh Toán,1024,1024
9,"[807, 622, 925, 660]",18,TOTAL_COST,35000,1024,1024
