index,bbox,label_id,label_text,content,width,height
0,"[453, 239, 572, 258]",15,SELLER,Saigon Co.op,1024,1366
1,"[395, 256, 634, 283]",15,SELLER,Co.op Food HN THE K-PARK,1024,1366
2,"[306, 303, 704, 328]",16,ADDRESS,"Tang 1.SH42 - Toa K3, Cong trinh chung cu",1024,1366
3,"[311, 331, 696, 356]",16,ADDRESS,ket hop dich vu tren o dat H-CT2 thuoc,1024,1366
4,"[303, 352, 705, 380]",16,ADDRESS,Du an Dau tu xay dung Khu nha o Hi Brand,1024,1366
5,"[381, 382, 653, 404]",16,ADDRESS,"tai Khu do thi moi Van Phu,",1024,1366
6,"[349, 405, 678, 430]",16,ADDRESS,"P. Phu La, Q. Ha Dong, Tp Ha Noi",1024,1366
7,"[621, 579, 711, 606]",17,TIMESTAMP,18:18:18:30,1024,1366
8,"[436, 580, 609, 609]",17,TIMESTAMP,Ngày: 19/09/2019,1024,1366
9,"[275, 769, 539, 800]",18,TOTAL_COST,Tong so tien thanh toan:,1024,1366
10,"[614, 770, 722, 798]",18,TOTAL_COST,"36,490.00",1024,1366
