index,bbox,label_id,label_text,content,width,height
0,"[186, 49, 245, 68]",15,SELLER,TIỀN ĐẠI LÝ:,576,1024
1,"[364, 58, 427, 73]",15,SELLER,5156 VINMART,576,1024
2,"[315, 73, 430, 93]",16,ADDRESS,5156 TỔ 7 MINH TIẾN A,576,1024
3,"[326, 92, 432, 110]",16,ADDRESS,"CẨM BÌNH, CẨM PHẢ QN",576,1024
4,"[177, 180, 207, 199]",17,TIMESTAMP,NAM,576,1024
5,"[236, 181, 288, 203]",17,TIMESTAMP,13/08/2020,576,1024
6,"[312, 183, 334, 203]",17,TIMESTAMP,GIỜ:,576,1024
7,"[378, 189, 426, 208]",17,TIMESTAMP,22:04:08,576,1024
8,"[167, 428, 198, 449]",18,TOTAL_COST,TỔNG:,576,1024
9,"[241, 435, 255, 453]",18,TOTAL_COST,3,576,1024
10,"[352, 437, 419, 457]",18,TOTAL_COST,"VMD1, 528, 279",576,1024
