index,bbox,label_id,label_text,content,width,height
0,"[140, 304, 204, 326]",15,SELLER,TIEN DAI LY,576,1024
1,"[293, 312, 428, 334]",15,SELLER,VGH_VINMART_4987_VMQNH,576,1024
2,"[136, 329, 241, 353]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ:,576,1024
3,"[286, 336, 427, 354]",16,ADDRESS,"TỔ 8, khu 3B, P.CẨM TRUNG",576,1024
4,"[314, 359, 427, 377]",16,ADDRESS,CAM PHA QUANG NINH,576,1024
5,"[132, 514, 167, 536]",17,TIMESTAMP,NGÀY:,576,1024
6,"[202, 516, 265, 539]",17,TIMESTAMP,20/05/2020,576,1024
7,"[291, 517, 318, 536]",17,TIMESTAMP,600đ,576,1024
8,"[375, 517, 427, 538]",17,TIMESTAMP,14 : 29 : 47,576,1024
9,"[137, 580, 256, 609]",18,TOTAL_COST,TỔNG CÔNG :,576,1024
10,"[342, 587, 429, 611]",18,TOTAL_COST,155.382,576,1024
