index,bbox,label_id,label_text,content,width,height
0,"[156, 381, 210, 402]",15,SELLER,TÊN ĐẠI LÝ,576,1024
1,"[277, 384, 388, 404]",15,SELLER,VGH VINMART 4587 VMQNH,576,1024
2,"[152, 404, 234, 422]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ:,576,1024
3,"[273, 406, 387, 422]",16,ADDRESS,TO 8 KHu 3B P. CAM TRUNG,576,1024
4,"[298, 425, 386, 442]",16,ADDRESS,CAM HÀ QUANG NINH,576,1024
5,"[145, 553, 176, 573]",17,TIMESTAMP,Nam,576,1024
6,"[204, 556, 257, 573]",17,TIMESTAMP,30/04/2020,576,1024
7,"[275, 555, 299, 573]",17,TIMESTAMP,GIỜ,576,1024
8,"[345, 557, 388, 574]",17,TIMESTAMP,10:20:20:49,576,1024
9,"[147, 609, 247, 632]",18,TOTAL_COST,TỔNG CÔNG:,576,1024
10,"[284, 613, 388, 636]",18,TOTAL_COST,UHD341.100,576,1024
