index,bbox,label_id,label_text,content,width,height
0,"[185, 328, 233, 345]",15,SELLER,TÊN ĐẠI LÝ,576,1024
1,"[291, 332, 386, 347]",15,SELLER,VGH_VINMART_4939_VMQNH,576,1024
2,"[186, 347, 254, 363]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ:,576,1024
3,"[305, 349, 385, 363]",16,ADDRESS,2060-2062 TRẦN PHÚ,576,1024
4,"[307, 365, 388, 380]",16,ADDRESS,CAM PHA QUANG NINH,576,1024
5,"[184, 378, 209, 396]",17,TIMESTAMP,NGÀY,576,1024
6,"[231, 380, 273, 397]",17,TIMESTAMP,14/08/2020,576,1024
7,"[288, 381, 310, 398]",17,TIMESTAMP,600đ,576,1024
8,"[346, 383, 386, 398]",17,TIMESTAMP,22:04:37,576,1024
9,"[181, 584, 223, 601]",18,TOTAL_COST,TỔNG CỘNG,576,1024
10,"[335, 588, 382, 603]",18,TOTAL_COST,"VND 419,339",576,1024
