109,46,181,45,181,59,109,60
185,45,228,45,228,58,185,58
189,66,210,66,210,78,189,78
212,66,241,66,241,78,212,78
93,67,119,69,118,81,92,79
118,68,140,68,140,80,118,80
140,68,164,68,164,80,140,80
166,68,188,68,188,80,166,80
202,110,249,110,249,129,202,129
88,112,124,112,124,130,88,130
165,112,200,112,200,130,165,130
126,113,164,113,164,130,126,130
274,132,300,132,300,145,274,145
234,133,274,133,274,145,234,145
26,134,50,134,50,146,26,146
51,132,83,136,82,150,49,146
100,134,116,134,116,146,100,146
129,134,156,134,156,146,129,146
176,134,201,134,201,146,176,146
202,134,222,134,222,148,202,148
21,152,106,152,106,165,21,165
108,152,136,152,136,165,108,165
137,152,166,152,166,165,137,165
168,152,186,152,186,166,168,166
186,152,222,152,222,164,186,164
225,152,242,152,242,164,225,164
20,169,41,169,41,182,20,182
194,169,228,169,228,182,194,182
42,170,72,170,72,184,42,184
72,170,90,170,90,184,72,184
266,186,284,186,284,200,266,200
284,186,308,186,308,200,284,200
18,188,40,188,40,201,18,201
193,188,226,188,226,200,193,200
40,189,66,189,66,201,40,201
120,190,144,190,144,200,120,200
236,208,260,208,260,222,236,222
261,208,280,208,280,221,261,221
17,209,40,209,40,222,17,222
38,209,105,209,105,222,38,222
105,209,128,209,128,222,105,222
130,208,184,209,183,224,130,222
185,209,208,209,208,222,185,222
209,209,236,209,236,222,209,222
201,228,226,226,227,239,202,241
273,226,308,226,308,240,273,240
118,228,144,228,144,240,118,240
192,228,202,228,202,241,192,241
185,249,204,249,204,262,185,262
17,250,110,250,110,264,17,264
112,250,136,250,136,264,112,264
136,250,161,250,161,262,136,262
160,252,182,252,182,264,160,264
284,268,309,268,309,281,284,281
120,270,142,270,142,280,120,280
193,269,226,269,226,282,193,282
274,269,285,269,285,281,274,281
221,290,252,290,252,306,221,306
253,290,272,290,272,304,253,304
17,292,110,292,110,305,17,305
112,292,134,292,134,305,112,305
136,292,161,292,161,305,136,305
162,292,188,292,188,305,162,305
189,293,220,293,220,305,189,305
118,310,142,310,142,322,118,322
194,312,202,312,202,324,194,324
202,310,226,310,226,324,202,324
274,310,285,310,285,324,274,324
285,310,310,310,310,324,285,324
16,333,110,333,110,346,16,346
112,333,136,333,136,346,112,346
164,333,219,334,218,349,163,347
137,334,161,334,161,346,137,346
224,334,240,334,240,346,224,346
240,333,269,336,267,350,238,347
273,334,292,334,292,346,273,346
117,353,142,353,142,364,117,364
185,353,204,353,204,366,185,366
204,353,228,353,228,366,204,366
268,353,310,353,310,366,268,366
14,374,104,374,104,388,14,388
104,374,125,374,125,388,104,388
158,374,188,376,187,390,157,388
189,374,226,374,226,389,189,389
126,376,157,376,157,388,126,388
228,376,246,376,246,389,228,389
117,394,141,394,141,406,117,406
192,394,226,394,226,409,192,409
268,396,286,396,286,409,268,409
285,396,310,396,310,409,285,409
13,417,102,417,102,432,13,432
104,417,124,417,124,432,104,432
125,417,148,417,148,432,125,432
150,418,168,418,168,432,150,432
117,438,141,438,141,449,117,449
185,438,202,438,202,452,185,452
202,438,226,438,226,452,202,452
268,440,285,440,285,453,268,453
286,440,312,440,312,454,286,454
12,459,101,460,101,474,11,473
102,461,141,461,141,474,102,474
155,459,195,464,194,479,153,474
141,462,153,462,153,476,141,476
194,461,228,465,226,479,193,475
228,462,258,462,258,477,228,477
261,464,280,464,280,477,261,477
117,484,141,484,141,493,117,493
192,482,226,482,226,497,192,497
276,485,312,485,312,498,276,498
12,502,100,502,100,517,12,517
101,504,124,504,124,518,101,518
122,504,142,504,142,518,122,518
145,505,164,505,164,518,145,518
114,525,140,525,140,537,114,537
192,526,226,526,226,541,192,541
277,529,286,529,286,544,277,544
286,529,312,529,312,545,286,545
8,548,57,550,57,566,7,564
94,553,112,553,112,565,94,565
8,566,39,569,38,586,6,582
40,569,71,571,70,585,39,583
264,573,289,573,289,588,264,588
289,574,314,574,314,589,289,589
8,597,14,597,14,609,8,609
13,596,37,596,37,612,13,612
38,597,61,597,61,610,38,610
264,600,288,600,288,614,264,614
289,600,314,600,314,614,289,614
6,614,33,614,33,629,6,629
34,614,74,614,74,629,34,629
76,617,98,617,98,629,76,629
150,620,180,620,180,633,150,633
264,621,289,621,289,636,264,636
289,621,314,621,314,636,289,636
20,644,37,644,37,657,20,657
38,645,61,645,61,658,38,658
62,644,180,647,179,662,62,659
181,649,217,649,217,665,181,665
217,649,297,649,297,664,217,664
296,650,310,650,310,664,296,664
120,668,145,668,145,681,120,681
145,669,180,669,180,684,145,684
181,669,208,669,208,682,181,682
48,681,70,681,70,693,48,693
70,682,97,682,97,694,70,694
100,685,116,685,116,694,100,694
116,684,132,684,132,694,116,694
133,685,158,685,158,696,133,696
158,684,182,684,182,696,158,696
185,685,200,685,200,696,185,696
201,686,224,686,224,696,201,696
224,685,264,685,264,696,224,696
