index,bbox,label_id,label_text,content,width,height
0,"[178, 316, 241, 335]",15,SELLER,Tên DAI LY:,576,1024
1,"[180, 337, 269, 358]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ:,576,1024
2,"[308, 340, 440, 356]",16,ADDRESS,TỔ 8 KHU 3B P.CẨM TRUNG,576,1024
3,"[336, 359, 437, 378]",16,ADDRESS,CAM HA QUANG NINH,576,1024
4,"[175, 501, 213, 520]",17,TIMESTAMP,NGÀY:,576,1024
5,"[235, 502, 297, 519]",17,TIMESTAMP,20/05/2020,576,1024
6,"[318, 502, 341, 520]",17,TIMESTAMP,GIỜ:,576,1024
7,"[390, 502, 440, 520]",17,TIMESTAMP,20:19:06,576,1024
8,"[178, 561, 290, 583]",18,TOTAL_COST,TỔNG CÔNG:,576,1024
9,"[320, 561, 444, 585]",18,TOTAL_COST,VND 171.500,576,1024
