index,bbox,label_id,label_text,content,width,height
0,"[424, 91, 493, 117]",15,SELLER,UNIQLO,1024,1366
1,"[353, 109, 586, 132]",16,ADDRESS,Vincom pham Ngọc Thạch,1024,1366
2,"[337, 123, 601, 148]",16,ADDRESS,2. Đường Phạm Ngọc Thạch,1024,1366
3,"[314, 134, 632, 169]",16,ADDRESS,"Phường Trung Tự, Quận Đống Đa",1024,1366
4,"[383, 155, 558, 183]",16,ADDRESS,Thành phố Hà Nội,1024,1366
5,"[293, 1002, 346, 1029]",17,TIMESTAMP,Ngày,1024,1366
6,"[299, 1019, 410, 1050]",17,TIMESTAMP,15/08/2020,1024,1366
7,"[426, 991, 466, 1019]",17,TIMESTAMP,Giờ,1024,1366
8,"[414, 1020, 474, 1046]",17,TIMESTAMP,20:52,1024,1366
9,"[286, 757, 404, 786]",18,TOTAL_COST,Tổng cộng,1024,1366
10,"[590, 740, 696, 771]",18,TOTAL_COST,"1,095,000",1024,1366
