index,bbox,label_id,label_text,content,width,height
0,"[346, 236, 535, 256]",15,SELLER,Co.op mart,1024,1365
1,"[339, 264, 427, 292]",16,ADDRESS,Co.opMart,1024,1365
2,"[434, 271, 594, 291]",16,ADDRESS,NGUYEN DINH CHIEU,1024,1365
3,"[419, 420, 581, 452]",17,TIMESTAMP,Ngày: 21/05/2020,1024,1365
4,"[237, 1084, 502, 1112]",18,TOTAL_COST,Tong so tien thanh toan:,1024,1365
5,"[350, 295, 446, 324]",16,ADDRESS,168 Nguyen,1024,1365
6,"[453, 310, 549, 327]",16,ADDRESS,Đinh Chiêu,1024,1365
7,"[554, 304, 586, 325]",16,ADDRESS,0.3,1024,1365
8,"[598, 437, 678, 457]",17,TIMESTAMP,16:44:18,1024,1365
9,"[562, 1082, 676, 1110]",18,TOTAL_COST,"880,400.00",1024,1365
