index,bbox,label_id,label_text,content,width,height
0,"[192, 204, 247, 224]",15,SELLER,TÊN ĐẠI LÝ:,576,1024
1,"[359, 204, 425, 223]",15,SELLER,5156-VINMART,576,1024
2,"[189, 224, 270, 243]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ:,576,1024
3,"[317, 225, 425, 242]",16,ADDRESS,5156-To 2 MINH TIEN A,576,1024
4,"[325, 245, 423, 260]",16,ADDRESS,"CAM BINH, CAM PHA, QN",576,1024
5,"[185, 429, 213, 446]",17,TIMESTAMP,NGÀY:,576,1024
6,"[236, 430, 288, 449]",17,TIMESTAMP,11/08/2020,576,1024
7,"[307, 431, 331, 448]",17,TIMESTAMP,GIỜ:,576,1024
8,"[376, 435, 418, 451]",17,TIMESTAMP,17-29:39,576,1024
9,"[185, 482, 280, 505]",18,TOTAL_COST,TỔNG CỘNG:,576,1024
10,"[323, 487, 415, 508]",18,TOTAL_COST,"UMD50,000",576,1024
