index,bbox,label_id,label_text,content,width,height
0,"[170, 354, 227, 372]",15,SELLER,TÊN ĐẠI LÝ :,576,1024
1,"[287, 355, 395, 372]",15,SELLER,VGH VINMART 1987 VMQNH,576,1024
2,"[169, 374, 246, 392]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ,576,1024
3,"[288, 375, 396, 408]",16,ADDRESS,"TỔ 8 KHU 3B P.CẨM TRUNG, CẨM PHẢ, QUẢNG NINH",576,1024
4,"[171, 517, 199, 533]",17,TIMESTAMP,NGÀY:,576,1024
5,"[222, 517, 277, 532]",17,TIMESTAMP,16/08/2020,576,1024
6,"[291, 516, 313, 535]",17,TIMESTAMP,Giá:,576,1024
7,"[355, 515, 401, 532]",17,TIMESTAMP,16 : 26 : 28,576,1024
8,"[169, 568, 267, 587]",18,TOTAL_COST,TỔNG CỘNG:,576,1024
9,"[297, 569, 401, 591]",18,TOTAL_COST,"VNd359,732",576,1024
