index,bbox,label_id,label_text,content,width,height
0,"[278, 106, 740, 200]",15,SELLER,THỨC COFFEE,1024,1024
1,"[318, 195, 682, 251]",16,ADDRESS,"22 Quang Trung, P10, Gò Vấp",1024,1024
2,"[492, 375, 585, 414]",17,TIMESTAMP,Ngày tháng năm,1024,1024
3,"[667, 385, 796, 428]",17,TIMESTAMP,31.032019,1024,1024
4,"[164, 641, 428, 690]",18,TOTAL_COST,Tiền Thanh Toán,1024,1024
5,"[693, 654, 795, 695]",18,TOTAL_COST,70 000,1024,1024
6,"[180, 403, 303, 436]",17,TIMESTAMP,Giờ vào:,1024,1024
7,"[320, 406, 406, 442]",17,TIMESTAMP,14-21,1024,1024
8,"[494, 415, 592, 449]",17,TIMESTAMP,Giờ ra:,1024,1024
9,"[723, 428, 801, 468]",17,TIMESTAMP,14422,1024,1024
