index,bbox,label_id,label_text,content,width,height
0,"[387, 267, 575, 288]",15,SELLER,Co.op Food HN THE K-PARK,1024,1366
1,"[434, 248, 532, 270]",15,SELLER,Saigon Co.op,1024,1366
2,"[315, 303, 630, 331]",16,ADDRESS,"Tang 1, SH42 - Toa K3, Cong trinh chung cu",1024,1366
3,"[321, 326, 623, 349]",16,ADDRESS,ket hop dich vu tren o dat H-CT2 thuoc,1024,1366
4,"[314, 344, 631, 370]",16,ADDRESS,Du an Dau tu xay dung Khu nha o Hi Brand,1024,1366
5,"[375, 366, 589, 390]",16,ADDRESS,"tai Khu do thi moi Van Phu,",1024,1366
6,"[350, 384, 604, 409]",16,ADDRESS,"P. Phu La, Q. Ha Dong, Tp Ha Noi",1024,1366
7,"[416, 529, 627, 553]",17,TIMESTAMP,Ngày: 23/09/2019 10:35:46,1024,1366
8,"[295, 693, 494, 717]",18,TOTAL_COST,Tong so tien thanh toan:,1024,1366
9,"[548, 698, 625, 719]",18,TOTAL_COST,"B7,500.00",1024,1366
